SVCOXFC01V
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID,IO_group_id,IO_group_name
0,retoxfbakt002,1,6,retoxfbakt002-colin1,600507680181072C700000000000000A,1,iogrp2
0,retoxfbakt002,2,7,retoxfbakt002-colin2,600507680181072C700000000000000B,1,iogrp2
0,retoxfbakt002,3,8,retoxfbakt002-colin3,600507680181072C700000000000000C,1,iogrp2
0,retoxfbakt002,0,15,Test_Lun_AB,600507680181072C700000000000001A,3,iogrp4
1,reclaimed,0,4,ABcolintest-d10,600507680181072C7000000000000008,1,iogrp2
1,reclaimed,1,5,ABcolintest-d11,600507680181072C7000000000000009,1,iogrp2
1,reclaimed,2,10,oxcldm86c-d1,600507680181072C7000000000000012,1,iogrp2
1,reclaimed,3,11,oxcldm86c-d2,600507680181072C7000000000000013,1,iogrp2
1,reclaimed,4,12,oxcldm86c-d3,600507680181072C7000000000000014,1,iogrp2
1,reclaimed,5,13,oxcldm86c-d4,600507680181072C7000000000000015,1,iogrp2
1,reclaimed,6,14,oxcldm86c-d8,600507680181072C7000000000000019,1,iogrp2
2,oxcldm86c_OS,0,60,oxcldm86c_oxdaps61_OS,600507680181072C7000000000000051,1,iogrp2
2,oxcldm86c_OS,1,67,oxcldm86c_oxdora55_OS,600507680181072C7000000000000058,1,iogrp2
2,oxcldm86c_OS,2,72,oxcldm86c_oxdora80_OS,600507680181072C700000000000005D,1,iogrp2
2,oxcldm86c_OS,5,16,oxcldm86c_oxdora78l_OS,600507680181072C700000000000001B,1,iogrp2
2,oxcldm86c_OS,6,20,oxcldm86c_oxdaps80_OS,600507680181072C7000000000000022,1,iogrp2
2,oxcldm86c_OS,7,23,oxcldm86c_oxtora79_OS,600507680181072C7000000000000025,1,iogrp2
2,oxcldm86c_OS,8,37,oxcldm86c_oxtora55_OS,600507680181072C7000000000000038,1,iogrp2
2,oxcldm86c_OS,9,41,oxcldm86c_oxtora83_OS,600507680181072C700000000000003C,1,iogrp2
2,oxcldm86c_OS,10,46,oxcldm86c_oxcora80_OS,600507680181072C7000000000000041,1,iogrp2
2,oxcldm86c_OS,11,51,oxcldm86c_oxdora77_OS,600507680181072C7000000000000050,1,iogrp2
2,oxcldm86c_OS,12,45,oxcldm86c_oxcaps80_OS,600507680181072C7000000000000040,1,iogrp2
3,oxlcrac002,0,9,oxlcrac002-d1,600507680181072C700000000000000D,2,iogrp3
4,oxcldm86c_DATA,0,17,oxcldm86c_oxdora78-d1,600507680181072C700000000000001F,0,iogrp1
4,oxcldm86c_DATA,1,18,oxcldm86c_oxdora78-d2,600507680181072C7000000000000020,0,iogrp1
4,oxcldm86c_DATA,2,19,oxcldm86c_oxdora78-d3,600507680181072C7000000000000021,0,iogrp1
4,oxcldm86c_DATA,3,21,oxcldm86c_oxdaps80-d1,600507680181072C7000000000000023,0,iogrp1
4,oxcldm86c_DATA,4,22,oxcldm86c_oxdaps80-d2,600507680181072C7000000000000024,0,iogrp1
4,oxcldm86c_DATA,5,24,oxcldm86c_oxtora79-d1,600507680181072C7000000000000026,0,iogrp1
4,oxcldm86c_DATA,6,25,oxcldm86c_oxtora79-d2,600507680181072C7000000000000027,0,iogrp1
4,oxcldm86c_DATA,7,26,oxcldm86c_oxtora79-d3,600507680181072C7000000000000028,0,iogrp1
4,oxcldm86c_DATA,8,27,oxcldm86c_oxtora79-d4,600507680181072C7000000000000029,0,iogrp1
4,oxcldm86c_DATA,9,28,oxcldm86c_oxtora79-d5,600507680181072C700000000000002A,0,iogrp1
4,oxcldm86c_DATA,10,29,oxcldm86c_oxtora79-d6,600507680181072C700000000000002B,0,iogrp1
4,oxcldm86c_DATA,11,30,oxcldm86c_oxtora79-d7,600507680181072C700000000000002C,0,iogrp1
4,oxcldm86c_DATA,12,31,oxcldm86c_oxtora79-d8,600507680181072C700000000000002D,0,iogrp1
4,oxcldm86c_DATA,13,32,oxcldm86c_oxtora79-d9,600507680181072C700000000000002E,0,iogrp1
4,oxcldm86c_DATA,14,33,oxcldm86c_oxtora79-d10,600507680181072C700000000000002F,0,iogrp1
4,oxcldm86c_DATA,15,34,oxcldm86c_oxtora79-d11,600507680181072C7000000000000030,0,iogrp1
4,oxcldm86c_DATA,16,35,oxcldm86c_oxtora79-d12,600507680181072C7000000000000031,0,iogrp1
4,oxcldm86c_DATA,17,36,oxcldm86c_oxtora79-d13,600507680181072C7000000000000032,0,iogrp1
4,oxcldm86c_DATA,18,38,oxcldm86c_oxtora55-d1,600507680181072C7000000000000039,0,iogrp1
4,oxcldm86c_DATA,19,39,oxcldm86c_oxtora55-d2,600507680181072C700000000000003A,0,iogrp1
4,oxcldm86c_DATA,20,40,oxcldm86c_oxtora55-d3,600507680181072C700000000000003B,0,iogrp1
4,oxcldm86c_DATA,21,42,oxcldm86c_oxtora83-d1,600507680181072C700000000000003D,0,iogrp1
4,oxcldm86c_DATA,22,43,oxcldm86c_oxtora83-d2,600507680181072C700000000000003E,0,iogrp1
4,oxcldm86c_DATA,23,44,oxcldm86c_oxtora83-d3,600507680181072C700000000000003F,0,iogrp1
4,oxcldm86c_DATA,24,47,oxcldm86c_oxcora80-d1,600507680181072C7000000000000042,0,iogrp1
4,oxcldm86c_DATA,25,52,oxcldm86c_oxdora77-d1,600507680181072C7000000000000047,0,iogrp1
4,oxcldm86c_DATA,26,53,oxcldm86c_oxdora77-d2,600507680181072C7000000000000048,0,iogrp1
4,oxcldm86c_DATA,27,54,oxcldm86c_oxdora77-d3,600507680181072C7000000000000049,0,iogrp1
4,oxcldm86c_DATA,28,55,oxcldm86c_oxdora77-d4,600507680181072C700000000000004A,0,iogrp1
4,oxcldm86c_DATA,29,56,oxcldm86c_oxdora77-d5,600507680181072C700000000000004B,0,iogrp1
4,oxcldm86c_DATA,30,57,oxcldm86c_oxdora77-d6,600507680181072C700000000000004C,0,iogrp1
4,oxcldm86c_DATA,31,58,oxcldm86c_oxdora77-d7,600507680181072C700000000000004D,0,iogrp1
4,oxcldm86c_DATA,32,59,oxcldm86c_oxdora77-d8,600507680181072C700000000000004E,0,iogrp1
4,oxcldm86c_DATA,33,48,oxcldm86c_oxcaps80-d1,600507680181072C7000000000000043,0,iogrp1
4,oxcldm86c_DATA,34,49,oxcldm86c_oxcaps80-d2,600507680181072C7000000000000044,0,iogrp1
4,oxcldm86c_DATA,35,50,oxcldm86c_oxcaps80-d3,600507680181072C7000000000000045,0,iogrp1
4,oxcldm86c_DATA,36,61,oxcldm86c_oxdaps61-d1,600507680181072C7000000000000052,0,iogrp1
4,oxcldm86c_DATA,37,62,oxcldm86c_oxtora55-d4,600507680181072C7000000000000053,0,iogrp1
4,oxcldm86c_DATA,38,63,oxcldm86c_oxtora55-d5,600507680181072C7000000000000054,0,iogrp1
4,oxcldm86c_DATA,39,64,oxcldm86c_oxtora55-d6,600507680181072C7000000000000055,0,iogrp1
4,oxcldm86c_DATA,40,65,oxcldm86c_oxtora55-d7,600507680181072C7000000000000056,0,iogrp1
4,oxcldm86c_DATA,41,66,oxcldm86c_oxtora55-d8,600507680181072C7000000000000057,0,iogrp1
4,oxcldm86c_DATA,42,68,oxcldm86c_oxdora55-d1,600507680181072C7000000000000059,0,iogrp1
4,oxcldm86c_DATA,43,69,oxcldm86c_oxdora55-d2,600507680181072C700000000000005A,0,iogrp1
4,oxcldm86c_DATA,44,70,oxcldm86c_oxdora55-d3,600507680181072C700000000000005B,0,iogrp1
4,oxcldm86c_DATA,45,71,oxcldm86c_oxdora55-d4,600507680181072C700000000000005C,0,iogrp1
4,oxcldm86c_DATA,46,73,oxcldm86c_oxdora80-d1,600507680181072C700000000000005E,0,iogrp1
id,name,IO_group_id,IO_group_name,status,mdisk_grp_id,mdisk_grp_name,capacity,type,FC_id,FC_name,RC_id,RC_name,vdisk_UID,fc_map_count,copy_count,fast_write_state,se_copy_count,RC_change,compressed_copy_count
0,retoxfbakt002-d1,0,iogrp1,online,0,T1-XIV10_MDG1,151.37GB,striped,,,,,600507680181072C7000000000000004,0,1,empty,0,no,0
1,retoxfbakt002-d2,0,iogrp1,online,0,T1-XIV10_MDG1,151.37GB,striped,,,,,600507680181072C7000000000000005,0,1,empty,0,no,0
2,retoxfbakt002-d3,0,iogrp1,online,0,T1-XIV10_MDG1,151.37GB,striped,,,,,600507680181072C7000000000000006,0,1,empty,0,no,0
3,retoxfbakt002-d4,0,iogrp1,online,0,T1-XIV10_MDG1,100.00GB,striped,,,,,600507680181072C7000000000000007,0,1,empty,0,no,0
4,ABcolintest-d10,1,iogrp2,online,0,T1-XIV10_MDG1,100.00GB,striped,,,,,600507680181072C7000000000000008,0,1,empty,0,no,0
5,ABcolintest-d11,1,iogrp2,online,0,T1-XIV10_MDG1,100.00GB,striped,,,,,600507680181072C7000000000000009,0,1,empty,0,no,0
6,retoxfbakt002-colin1,1,iogrp2,online,1,retoxfbakt002,151.37GB,image,,,,,600507680181072C700000000000000A,0,1,empty,0,no,0
7,retoxfbakt002-colin2,1,iogrp2,online,1,retoxfbakt002,151.37GB,image,,,,,600507680181072C700000000000000B,0,1,empty,0,no,0
8,retoxfbakt002-colin3,1,iogrp2,online,1,retoxfbakt002,151.37GB,image,,,,,600507680181072C700000000000000C,0,1,empty,0,no,0
9,oxlcrac002-d1,2,iogrp3,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C700000000000000D,0,1,not_empty,0,no,0
10,oxcldm86c-d1,1,iogrp2,online,0,T1-XIV10_MDG1,86.00GB,striped,,,,,600507680181072C7000000000000012,0,1,empty,0,no,0
11,oxcldm86c-d2,1,iogrp2,online,0,T1-XIV10_MDG1,86.00GB,striped,,,,,600507680181072C7000000000000013,0,1,empty,0,no,0
12,oxcldm86c-d3,1,iogrp2,online,0,T1-XIV10_MDG1,86.00GB,striped,,,,,600507680181072C7000000000000014,0,1,empty,0,no,0
13,oxcldm86c-d4,1,iogrp2,online,0,T1-XIV10_MDG1,86.00GB,striped,,,,,600507680181072C7000000000000015,0,1,empty,0,no,0
14,oxcldm86c-d8,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C7000000000000019,0,1,empty,0,no,0
15,Test_Lun_AB,3,iogrp4,online,0,T1-XIV10_MDG1,10.00GB,striped,,,,,600507680181072C700000000000001A,0,1,empty,0,no,0
16,oxcldm86c_oxdora78l_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C700000000000001B,0,1,not_empty,0,no,0
17,oxcldm86c_oxdora78-d1,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C700000000000001F,0,1,empty,0,no,0
18,oxcldm86c_oxdora78-d2,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C7000000000000020,0,1,empty,0,no,0
19,oxcldm86c_oxdora78-d3,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C7000000000000021,0,1,empty,0,no,0
20,oxcldm86c_oxdaps80_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.15GB,striped,,,,,600507680181072C7000000000000022,0,1,not_empty,0,no,0
21,oxcldm86c_oxdaps80-d1,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000023,0,1,empty,0,no,0
22,oxcldm86c_oxdaps80-d2,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000024,0,1,empty,0,no,0
23,oxcldm86c_oxtora79_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C7000000000000025,0,1,not_empty,0,no,0
24,oxcldm86c_oxtora79-d1,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000026,0,1,empty,0,no,0
25,oxcldm86c_oxtora79-d2,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000027,0,1,empty,0,no,0
26,oxcldm86c_oxtora79-d3,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000028,0,1,empty,0,no,0
27,oxcldm86c_oxtora79-d4,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000029,0,1,empty,0,no,0
28,oxcldm86c_oxtora79-d5,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C700000000000002A,0,1,empty,0,no,0
29,oxcldm86c_oxtora79-d6,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C700000000000002B,0,1,empty,0,no,0
30,oxcldm86c_oxtora79-d7,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C700000000000002C,0,1,empty,0,no,0
31,oxcldm86c_oxtora79-d8,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C700000000000002D,0,1,empty,0,no,0
32,oxcldm86c_oxtora79-d9,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C700000000000002E,0,1,empty,0,no,0
33,oxcldm86c_oxtora79-d10,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C700000000000002F,0,1,empty,0,no,0
34,oxcldm86c_oxtora79-d11,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000030,0,1,empty,0,no,0
35,oxcldm86c_oxtora79-d12,0,iogrp1,online,0,T1-XIV10_MDG1,150.00GB,striped,,,,,600507680181072C7000000000000031,0,1,empty,0,no,0
36,oxcldm86c_oxtora79-d13,0,iogrp1,online,0,T1-XIV10_MDG1,34.00GB,striped,,,,,600507680181072C7000000000000032,0,1,empty,0,no,0
37,oxcldm86c_oxtora55_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C7000000000000038,0,1,not_empty,0,no,0
38,oxcldm86c_oxtora55-d1,0,iogrp1,online,0,T1-XIV10_MDG1,208.00GB,striped,,,,,600507680181072C7000000000000039,0,1,empty,0,no,0
39,oxcldm86c_oxtora55-d2,0,iogrp1,online,0,T1-XIV10_MDG1,208.00GB,striped,,,,,600507680181072C700000000000003A,0,1,empty,0,no,0
40,oxcldm86c_oxtora55-d3,0,iogrp1,online,0,T1-XIV10_MDG1,208.00GB,striped,,,,,600507680181072C700000000000003B,0,1,empty,0,no,0
41,oxcldm86c_oxtora83_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C700000000000003C,0,1,not_empty,0,no,0
42,oxcldm86c_oxtora83-d1,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C700000000000003D,0,1,empty,0,no,0
43,oxcldm86c_oxtora83-d2,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C700000000000003E,0,1,empty,0,no,0
44,oxcldm86c_oxtora83-d3,0,iogrp1,online,0,T1-XIV10_MDG1,176.00GB,striped,,,,,600507680181072C700000000000003F,0,1,empty,0,no,0
45,oxcldm86c_oxcaps80_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.12GB,striped,,,,,600507680181072C7000000000000040,0,1,empty,0,no,0
46,oxcldm86c_oxcora80_OS,1,iogrp2,online,0,T1-XIV10_MDG1,80.11GB,striped,,,,,600507680181072C7000000000000041,0,1,empty,0,no,0
47,oxcldm86c_oxcora80-d1,0,iogrp1,online,0,T1-XIV10_MDG1,300.00GB,striped,,,,,600507680181072C7000000000000042,0,1,empty,0,no,0
