System Name,Cluster Name,Host Name,Volumes Allocated(GB),Volumes Used Space(GB),Allocated vs Used Volumes %,# Volumes,# Snaps,# volumes mirrored,mirrored allocated space(GB),mirrored used space(GB),# thin volumes,ports
T1-XIV_7820489-RE,psml1a790-791_796-798 - Leading Indicators,psml1a790,10086,9970,98.85%,48,0,0,0,0,0,"10000090FA044CCA,10000090FA044804"
T1-XIV_7820489-RE,psml1a790-791_796-798 - Leading Indicators,psml1a791,10086,9970,98.85%,48,0,0,0,0,0,"10000090FA044A2E,10000090FA044C8C"
T1-XIV_7820489-RE,OLSPROD37,psdb1a387,5659,571,10.09%,13,0,0,0,0,0,"10000000C9B5341C,10000000C9E532D2"
T1-XIV_7820489-RE,OLSPROD37,psdb1a388,5659,571,10.09%,13,0,0,0,0,0,"10000000C9BA6A5C,10000000C9E85923"
T1-XIV_7820489-RE,OLSPROD37,psdb1a389,5659,571,10.09%,13,0,0,0,0,0,"10000000C9B19785,10000000C9BA6F35"
T1-XIV_7820489-RE,,PSDB1541,13898,11458,82.44%,13,0,0,0,0,0,"10000000C998E246,10000000C9A3DD00"
T1-XIV_7820489-RE,psml1a790-791_796-798 - Leading Indicators,psml1a796,10086,9970,98.85%,48,0,0,0,0,0,"10000000C9FCA102,10000000C9FCA100"
T1-XIV_7820489-RE,psml1a790-791_796-798 - Leading Indicators,psml1a797,10086,9970,98.85%,48,0,0,0,0,0,"10000000C9FCA0C6,10000000C9FCA060"
T1-XIV_7820489-RE,PNTD3BSQLCX,PNTD3BSQLCX1,1595,526,32.98%,11,0,0,0,0,0,"10000000C9878B56,10000000C9878B57"
T1-XIV_7820489-RE,PNTD3BSQLCX,PNTD3BSQLCX2,1595,526,32.98%,11,0,0,0,0,0,"10000000C96E35B6,10000000C96E35B7"
T1-XIV_7820489-RE,PNTD3BSQLCP,PNTD3BSQLCP1,1717,1124,65.46%,7,0,0,0,0,0,"10000000C9B7FFA6,10000000C9B80112"
T1-XIV_7820489-RE,PNTD3BSQLCP,PNTD3BSQLCP2,1717,1124,65.46%,7,0,0,0,0,0,"10000000C9D90356,10000000C9D97080"
T1-XIV_7820489-RE,OLSPROD32,psdb1a372,4111,3710,90.25%,10,0,0,0,0,0,"10000000C9E855BC,10000000C9C4C452"
T1-XIV_7820489-RE,OLSPROD32,psdb1a373,4111,3710,90.25%,10,0,0,0,0,0,"10000000C9BE22D6,10000000C9BE0EF0"
T1-XIV_7820489-RE,OLSPROD32,psdb1a374,4111,3710,90.25%,10,0,0,0,0,0,"10000000C9C4C56C,10000000C9B535CC"
T1-XIV_7820489-RE,OLSPROD33,psdb1a375,4990,4679,93.77%,10,0,0,0,0,0,"10000000C9C781E8,10000000C9BE230E"
T1-XIV_7820489-RE,OLSPROD33,psdb1a376,4990,4679,93.77%,10,0,0,0,0,0,"10000000C9E535A4,10000000C9E534E4"
T1-XIV_7820489-RE,OLSPROD33,psdb1a377,4990,4679,93.77%,10,0,0,0,0,0,"10000000C9C4C80A,10000000C9C4C12C"
T1-XIV_7820489-RE,OLSPROD34,psdb1a378,1497,1476,98.60%,3,0,0,0,0,0,"10000000C9E535C8,10000000C9E534CE"
T1-XIV_7820489-RE,OLSPROD34,psdb1a379,1497,1476,98.60%,3,0,0,0,0,0,"10000000C9BE0C52,10000000C9BA72C2"
T1-XIV_7820489-RE,OLSPROD34,psdb1a380,1497,1476,98.60%,3,0,0,0,0,0,"10000000C9C7840E,10000000C9B53F96"
T1-XIV_7820489-RE,OLSPROD35,psdb1a381,5608,5463,97.41%,13,0,0,0,0,0,"10000000C9C4C526,10000000C9B53254"
T1-XIV_7820489-RE,OLSPROD35,psdb1a382,5608,5463,97.41%,13,0,0,0,0,0,"10000000C9E858FE,10000000C9E53474"
T1-XIV_7820489-RE,OLSPROD35,psdb1a383,5608,5463,97.41%,13,0,0,0,0,0,"10000000C9E53374,10000000C9C4C516"
T1-XIV_7820489-RE,OLSPROD36,psdb1a384,2495,911,36.51%,5,0,0,0,0,0,"10000000C9E532F8,10000000C9B538D2"
T1-XIV_7820489-RE,OLSPROD36,psdb1a385,2495,911,36.51%,5,0,0,0,0,0,"10000000C9E5331E,10000000C9C4BCCA"
T1-XIV_7820489-RE,OLSPROD36,psdb1a386,2495,911,36.51%,5,0,0,0,0,0,"10000000C9C6FF64,10000000C9C4BFB6"
T1-XIV_7820489-RE,RENPPROD2,psdb1a392,1497,1485,99.20%,3,0,0,0,0,0,"10000000C9E535F2,10000000C9C4BF28"
T1-XIV_7820489-RE,RENPPROD2,psdb1a391,1497,1485,99.20%,3,0,0,0,0,0,"10000000C9E85590,10000000C9E85588"
T1-XIV_7820489-RE,RENPPROD2,psdb1a390,1497,1485,99.20%,3,0,0,0,0,0,"10000000C9C7827C,10000000C9BA6CEE"
T1-XIV_7820489-RE,psdb1a785-786-787,psdb1a785,1698,92,5.42%,17,0,0,0,0,0,"10000000C9FCE7AE,10000000C9FCE7C0"
T1-XIV_7820489-RE,psdb1a785-786-787,psdb1a786,1698,92,5.42%,17,0,0,0,0,0,"10000000C9FCA120,10000000C9FCA07A"
T1-XIV_7820489-RE,psdb1a785-786-787,psdb1a787,1698,92,5.42%,17,0,0,0,0,0,"10000000C9FCA08A,10000000C9FCA0E2"
T1-XIV_7820489-RE,,T4-08-dc1,5954,2777,46.64%,83,0,0,0,0,0,"10000000C9F3B224,10000000C9F3B225,10000000C9F39F3A,10000000C9F39F3B"
T1-XIV_7820489-RE,,T4-09-dc1,5810,2058,35.42%,97,0,0,0,0,0,"10000000C9C1665C,10000000C9C1665D,10000000C9C17900,10000000C9C17901"
T1-XIV_7820489-RE,,SVCMBGE01V,0,0,0.00%,0,0,0,0,0,0,"500507680140D934,500507680130D934,500507680120D934,500507680110D934,500507680140D949,500507680130D949,500507680120D949,500507680110D949,500507680100D9B6,500507680400D9B6,500507680300D9B6,500507680200D9B6,500507680100D901,500507680200D901,500507680300D901,500507680400D901,500507680100DB61,500507680200DB61,500507680300DB61,500507680400DB61,500507680100DC06,500507680200DC06,500507680300DC06,500507680400DC06,500507680100DB41,500507680200DB41,500507680300DB41,500507680400DB41,500507680100DB7F"
T1-XIV_7820489-RE,Cluster001_T4-10_T4-11,T4-10-DC1,2115,1395,65.96%,5,0,0,0,0,0,"10000000C9F3B53D,10000000C9F3A43F"
T1-XIV_7820489-RE,Cluster001_T4-10_T4-11,T4-11-DC1,2115,1341,63.40%,5,0,0,0,0,0,"10000000C9DF2C47,10000000C9DF2C73"
T1-XIV_7820489-RE,,PNTD3BSQL05A,188,134,71.28%,2,0,0,0,0,0,"10000000C97CD4DD,10000000C97CB9D3"
T1-XIV_7820489-RE,,PNTD3BMON03A,188,62,32.98%,2,0,0,0,0,0,"10000000C97CF997,10000000C97CFA5D"
T1-XIV_7820489-RE,,PNTD3BMON03B,188,5,2.66%,2,0,0,0,0,0,"10000000C978A387,10000000C97CD76A"
T1-XIV_7820489-RE,PNTD3BSQLCH,PNTD3BSQLCH1,720,359,49.86%,6,0,0,0,0,0,"10000000C984479D,10000000C98439A1"
T1-XIV_7820489-RE,PNTD3BSQLCH,PNTD3BSQLCH2,720,359,49.86%,6,0,0,0,0,0,"10000000C98435B5,10000000C9843881"
T1-XIV_7820489-RE,PNTD3BFPCCB,PNTD3BFPCCB5,7878,7015,89.05%,6,0,0,0,0,0,"10000000C9D2F67B,10000000C9D2F8FD"
T1-XIV_7820489-RE,PNTD3BFPCCB,PNTD3BFPCCB6,7878,7015,89.05%,6,0,0,0,0,0,"10000000C9D2F695,10000000C9D2F7AD"
T1-XIV_7820489-RE,,GROUP001 PSML1C116 - MarkLogic,10631,2871,27.01%,6,0,0,0,0,0,"10000090FA089FE0,10000090FA0DEDFC"
T1-XIV_7820489-RE,,GROUP001 PSML1C117 - MarkLogic,10631,2871,27.01%,6,0,0,0,0,0,"10000090FA0DF25E,10000090FA08F4D0"
T1-XIV_7820489-RE,,GROUP001 PSML1C118 - MarkLogic,10631,2871,27.01%,6,0,0,0,0,0,"10000090FA08F5E4,10000090FA08DDD4"
T1-XIV_7820489-RE,,GROUP001 PSML1C119 - MarkLogic,10631,2871,27.01%,6,0,0,0,0,0,"10000090FA0DCFE2,10000090FA0DF2A6"
T1-XIV_7820489-RE,,T4-02-DC1,3936,785,19.94%,61,0,0,0,0,0,"10000000C9F3A445,10000000C9F3AA41"
T1-XIV_7820489-RE,,PNTD3BSQLCT1,0,0,0.00%,0,0,0,0,0,0,"10000090FA1B3400,10000090FA1B3464"
T1-XIV_7820489-RE,,PNTD3BSQLCT2,0,0,0.00%,0,0,0,0,0,0,"10000090FA1B3A14,10000090FA1B33F8"
T1-XIV_7820489-RE,psml1a790-791_796-798 - Leading Indicators,psml1a798,10086,9970,98.85%,48,0,0,0,0,0,"10000000C9AD9288,10000000C9AD90A8"
