Server_Name	Storage_Vol(GB)	Source	Tier
GROUP001 PSML1C116 - MarkLogic	205398.943	XIV_7820489	T1
GROUP001 PSML1C117 - MarkLogic	205398.943	XIV_7820489	T1
GROUP001 PSML1C118 - MarkLogic	205398.943	XIV_7820489	T1
GROUP001 PSML1C119 - MarkLogic	205398.943	XIV_7820489	T1
PNTD3BFPCCB5	152208.906	XIV_7820489	T1
PNTD3BFPCCB6	152208.906	XIV_7820489	T1
PNTD3BMON03A	3632.302	XIV_7820489	T1
PNTD3BMON03B	3632.302	XIV_7820489	T1
PNTD3BSQL05A	3632.302	XIV_7820489	T1
PNTD3BSQLCH1	13910.943	XIV_7820489	T1
PNTD3BSQLCH2	13910.943	XIV_7820489	T1
PNTD3BSQLCP1	33173.736	XIV_7820489	T1
PNTD3BSQLCP2	33173.736	XIV_7820489	T1
PNTD3BSQLCT1	0.000	XIV_7820489	T1
PNTD3BSQLCT2	0.000	XIV_7820489	T1
PNTD3BSQLCX1	30816.604	XIV_7820489	T1
PNTD3BSQLCX2	30816.604	XIV_7820489	T1
PSDB1541	268519.849	XIV_7820489	T1
SVCMBGE01V	0.000	XIV_7820489	T1
T4-02-DC1	76046.491	XIV_7820489	T1
T4-08-dc1	115035.774	XIV_7820489	T1
T4-09-dc1	112253.585	XIV_7820489	T1
T4-10-DC1	40863.396	XIV_7820489	T1
T4-11-DC1	40863.396	XIV_7820489	T1
psdb1a372	79427.623	XIV_7820489	T1
psdb1a373	79427.623	XIV_7820489	T1
psdb1a374	79427.623	XIV_7820489	T1
psdb1a375	96410.566	XIV_7820489	T1
psdb1a376	96410.566	XIV_7820489	T1
psdb1a377	96410.566	XIV_7820489	T1
psdb1a378	28923.170	XIV_7820489	T1
psdb1a379	28923.170	XIV_7820489	T1
psdb1a380	28923.170	XIV_7820489	T1
psdb1a381	108350.792	XIV_7820489	T1
psdb1a382	108350.792	XIV_7820489	T1
psdb1a383	108350.792	XIV_7820489	T1
psdb1a384	48205.283	XIV_7820489	T1
psdb1a385	48205.283	XIV_7820489	T1
psdb1a386	48205.283	XIV_7820489	T1
psdb1a387	109336.151	XIV_7820489	T1
psdb1a388	109336.151	XIV_7820489	T1
psdb1a389	109336.151	XIV_7820489	T1
psdb1a390	28923.170	XIV_7820489	T1
psdb1a391	28923.170	XIV_7820489	T1
psdb1a392	28923.170	XIV_7820489	T1
psdb1a785	32806.642	XIV_7820489	T1
psdb1a786	32806.642	XIV_7820489	T1
psdb1a787	32806.642	XIV_7820489	T1
psml1a790	194869.132	XIV_7820489	T1
psml1a791	194869.132	XIV_7820489	T1
psml1a796	194869.132	XIV_7820489	T1
psml1a797	194869.132	XIV_7820489	T1
psml1a798	194869.132	XIV_7820489	T1
